Tipo;Numero;Nome;Umidade;Energia kcal;Energia kJ;Proteína;Lipídeos;Colesterol;Carboidrato;Fibra Alimentar;Cinzas;Cálcio;Magnésio;Número do;Manganês;Fósforo;Ferro;Sódio;Potássio;Cobre;Zinco;Retinol;RE;RAE ;Tiamina;Riboflavina;Piridoxina;Niacina;Vitamina C
Carnes e derivados;373;Carne, bovina, paleta, com gordura, crua;70,6;159;664;21,4;7,5;58;0,0;NA;0,9;4;14;373;Tr;158;1,8;65;250;0,08;3,7;Tr;Tr;Tr;Tr;0,04;,0,02;0,91;
Carnes e derivados;374;Carne, bovina, paleta, sem gordura, cozida;62,9;194;810;29,7;7,4;56;0,0;NA;0,8;6;18;374;Tr;197;2,2;58;250;0,10;6,8;Tr;Tr;Tr;0,03;0,04;Tr;2,16;
Carnes e derivados;375;Carne, bovina, paleta, sem gordura, crua;72,1;141;590;21,0;5,7;42;0,0;NA;1,0;4;18;375;Tr;163;1,9;66;319;0,05;3,3;3;3;3;0,13;0,21;Tr;2,67;
Carnes e derivados;376;Carne, bovina, patinho, sem gordura, cru;72,9;133;558;21,7;4,5;56;0,0;NA;1,0;3;20;376;0,01;170;1,8;49;318;0,05;4,5;2;2;2;0,11;0,08;Tr;3,61;
Carnes e derivados;377;Carne, bovina, patinho, sem gordura, grelhado;55,2;219;917;35,9;7,3;126;0,0;NA;1,3;5;27;377;0,02;289;3,0;60;421;0,12;8,1;Tr;Tr;Tr;0,04;0,03;Tr;3,01;
Carnes e derivados;378;Carne, bovina, peito, sem gordura, cozido;51,2;338;1416;22,2;27,0;100;0,0;NA;0,7;4;14;378;Tr;136;1,6;56;204;0,05;3,9;Tr;Tr;Tr;Tr;0,30;Tr;4,54;
Carnes e derivados;379;Carne, bovina, peito, sem gordura, cru;61,5;259;1085;17,6;20,4;59;0,0;NA;0,9;4;15;379;Tr;124;1,3;64;241;0,06;2,6;4;4;4;0,11;0,07;0,03;3,91;
Carnes e derivados;380;Carne, bovina, picanha, com gordura, crua;65,6;213;891;18,8;14,7;60;0,0;NA;0,9;2;14;380;Tr;165;1,7;38;232;0,06;3,8;3;3;3;0,13;0,16;Tr;4,77;
Carnes e derivados;381;Carne, bovina, picanha, com gordura, grelhada;53,4;289;1208;26,4;19,5;92;0,0;NA;1,1;4;24;381;Tr;246;3,2;60;355;0,14;5,5;Tr;Tr;Tr;0,03;0,06;0,13;1,60;
Carnes e derivados;382;Carne, bovina, picanha, sem gordura, crua;72,4;134;559;21,3;4,7;75;0,0;NA;1,0;3;20;382;Tr;183;2,1;61;322;0,08;4,2;Tr;Tr;Tr;Tr;0,05;Tr;1,89;
Carnes e derivados;383;Carne, bovina, picanha, sem gordura, grelhada;54,6;238;998;31,9;11,3;100;0,0;NA;1,2;4;25;383;0,02;282;3,6;61;377;0,17;6,7;Tr;Tr;Tr;Tr;0,08;0,03;1,82;
Carnes e derivados;384;Carne, bovina, seca, cozida;47,2;313;1309;26,9;21,9;100;0,0;NA;4,7;13;12;384;0,02;82;1,9;1943;86;0,03;7,7;Tr;Tr;Tr;Tr;0,06;Tr;2,32;
Carnes e derivados;385;Carne, bovina, seca, crua;39,2;313;1309;19,7;25,4;92;0,0;NA;15,3;14;12;385;0,01;100;1,3;4440;190;Tr;3,7;Tr;Tr;Tr;Tr;0,07;Tr;2,83;
