Tipo;Numero;Nome;Umidade;Energia kcal;Energia kJ;Proteína;Lipídeos;Colesterol;Carboidrato;Fibra Alimentar;Cinzas;Cálcio;Magnésio;Número do;Manganês;Fósforo;Ferro;Sódio;Potássio;Cobre;Zinco;Retinol;RE;RAE ;Tiamina;Riboflavina;Piridoxina;Niacina;Vitamina C
Frutas e derivados;229;Manga, Palmer, crua;79,7;72;303;0,4;0,2;NA;19,4;1,6;0,3;12;9;229;0,05;14;0,1;2;157;0,09;0,1;NA;787;393;0,09;0,03;Tr;Tr;65,5
Frutas e derivados;230;Manga, polpa, congelada;86,5;48;202;0,4;0,2;NA;12,5;1,1;0,4;7;9;230;0,12;9;0,1;7;131;0,06;0,1;NA;;;Tr;0,07;0,03;Tr;24,9
Frutas e derivados;231;Manga, Tommy Atkins, crua;85,8;51;212;0,9;0,2;NA;12,8;2,1;0,3;8;7;231;0,34;14;0,1;Tr;138;0,06;0,1;NA;118;59;Tr;0,04;0,03;Tr;7,9
Frutas e derivados;232;Maracujá, cru;82,9;68;286;2,0;2,1;NA;12,3;1,1;0,8;5;28;232;0,12;51;0,6;2;338;0,19;0,4;NA;114;57;Tr;0,05;0,05;Tr;19,8
Frutas e derivados;233;Maracujá, polpa, congelada;88,9;39;162;0,8;0,2;NA;9,6;0,5;0,5;5;10;233;0,07;15;0,3;8;228;0,05;0,2;NA;;;Tr;0,09;0,06;Tr;7,3
Frutas e derivados;234;Maracujá, suco concentrado, envasado;88,9;42;176;0,8;0,2;NA;9,6;0,4;0,5;4;4;234;0,07;14;0,3;22;201;0,05;0,1;NA;;;Tr;0,08;0,05;1,92;13,7
Frutas e derivados;235;Melancia, crua;90,7;33;136;0,9;Tr;NA;8,1;0,1;0,3;8;10;235;0,14;12;0,2;Tr;104;0,04;0,1;NA;61;31;Tr;Tr;Tr;Tr;6,1
Frutas e derivados;236;Melão, cru;91,3;29;123;0,7;Tr;NA;7,5;0,3;0,5;3;6;236;0,05;10;0,2;11;216;0,04;0,1;NA;2;1;Tr;Tr;0,02;Tr;8,7
Frutas e derivados;237;Mexerica, Murcote, crua;83,7;58;241;0,9;0,1;NA;14,9;3,1;0,5;33;12;237;0,05;19;0,1;1;159;0,06;0,1;NA;;;0,08;0,07;0,05;Tr;21,8
Frutas e derivados;238;Mexerica, Rio, crua;89,6;37;154;0,7;0,1;NA;9,3;2,7;0,3;17;8;238;0,05;14;0,1;2;125;0,07;0,2;NA;;;0,03;Tr;Tr;Tr;112,0
