Tipo;Numero;Nome;Umidade;Energia kcal;Energia kJ;Proteína;Lipídeos;Colesterol;Carboidrato;Fibra Alimentar;Cinzas;Cálcio;Magnésio;Número do;Manganês;Fósforo;Ferro;Sódio;Potássio;Cobre;Zinco;Retinol;RE;RAE ;Tiamina;Riboflavina;Piridoxina;Niacina;Vitamina C
Leguminosas e derivados;577;Lentilha, cozida;76,3;93;388;6,3;0,5;NA;16,3;7,9;0,6;16;22;577;0,29;104;1,5;1;220;0,17;1,1;NA;;;0,03;Tr;Tr;Tr;Tr
Leguminosas e derivados;578;Lentilha, crua;11,5;339;1419;23,2;0,8;NA;62,0;16,9;2,6;54;94;578;1,08;368;7,0;Tr;887;0,83;3,5;NA; ; ;0,11;Tr;0,42;5,07; 
Leguminosas e derivados;579;Paçoca, amendoim;1,8;487;2037;16,0;26,1;NA;52,4;7,3;3,8;22;101;579;1,06;198;1,1;167;348;0,38;1,6;NA;;;Tr;Tr;1,20;Tr;Tr
Leguminosas e derivados;580;Pé-de-moleque, amendoim;2,9;503;2105;13,2;28,0;NA;54,7;3,4;1,1;27;108;580;1,09;171;1,3;16;355;0,43;1,4;NA;;;0,04;0,03;0,11;5,94;Tr
Leguminosas e derivados;581;Soja, farinha;5,8;404;1690;36,0;14,6;NA;38,4;20,2;5,1;206;242;581;2,87;539;13,1;6;1922;1,29;4,5;NA;;;0,20;0,04;0,03;Tr;Tr
Leguminosas e derivados;582;Soja, extrato solúvel, natural, fluido;91,3;39;164;2,4;1,6;NA;4,3;0,4;0,5;17;15;582;0,15;53;0,4;57;121;0,08;0,3;NA;;;Tr;Tr;Tr;Tr;Tr
Leguminosas e derivados;583;Soja, extrato solúvel, pó;4,5;459;1920;35,7;26,2;NA;28,5;7,3;5,2;359;216;583;2,68;647;7,0;83;1607;1,19;5,8;NA;;;Tr;0,11;0,35;Tr;9,2
Leguminosas e derivados;584;Soja, queijo (tofu);86,6;64;270;6,6;4,0;NA;2,1;0,8;0,7;81;38;584;0,33;130;1,4;1;182;0,18;0,9;NA;;;0,04;Tr;0,03;Tr;Tr
Leguminosas e derivados;585;Tremoço, cru;9,7;381;1595;33,6;10,3;NA;43,8;32,3;2,6;177;121;585;*;265;2,8;3;708;0,79;4,2;NA;;;0,24;Tr;0,07;Tr;25,0
Leguminosas e derivados;586;Tremoço, em conserva;67,7;121;505;11,1;3,8;NA;12,4;14,4;5,0;16;4;586;*;40;0,3;1809;5;0,27;0,6;NA;;;Tr;Tr;Tr;Tr;Tr
